,Continent,Organisation,Operating in,Response,Provided,Document / Page,area (ha),start (year),duration,define_success (Y/N),define-notes (direct extract),define-classification,SMT,monitor (Y/N),monitor-notes (direct extract),monitor-classification,evaluate (Y/N),evaluate-notes (direct extract),evaluate-classification,Notes
72,Oceania,The Forktree Project,Australia,NO,NA,"https://www.theforktreeproject.com/about-us

https://www.theforktreeproject.com/goals",133,2019,6,YES,"The Forktree Project involves reforesting an area of degraded farmland to show what is possible in terms of land restoration and carbon offsetting.
Our Goals:
1
PROVIDE HABITAT FOR NATIVE SPECIES AND HELP COMBAT CLIMATE CHANGE THROUGH REWILDING THE LAND
2
IMPROVE ACCESS TO CARBON FUNDING FOR SMALL-MEDIUM SIZED LANDHOLDERS BY TRIALLING BETTER WAYS TO CALCULATE CARBON EMISSIONS, THUS ENCOURAGING MORE TREE PLANTING
3
ESTABLISH A SEED NURSERY TO GROW NATIVE PLANTS AND TREES 
4
BE AN EDUCATIONAL RESOURCE TO ENCOURAGE BOTH SUSTAINBLE PRACTICES AND SMALL-SCALE LAND REGENERATION","Habitat structure
Ecosystem
Social
Species
Knowledge sharing",M,YES,"Forktree is trialling several methodologies for quantifying carbon stored in both the soil and trees and plants on the site and will use these experiences both to work out carbon sequestration rates and also to inform discussions on improving the policy framework to accept simpler processes.
For more information on The Forktree Project’s carbon assessment trials, or to get involved, please contact us.
",NA,NO,NA,NA,
73,Oceania,For The Love of Wildlife,Australia,NO,NA,https://fortheloveofwildlife.org.au/why-we-care/,NA,2014,11,YES,"Rewilding outback Australia to restore its original savannah ecosystem is an ambitious but achievable goal. Our approach is designed to rehabilitate degraded lands at scale, halt biodiversity decline and promote healthy, self-sustaining ecosystems.

Our Aim

It is our vision to raise Australia’s presence to not only step up, but lead the world when it comes to our relationship with animals and wildlife.
Through leading the human animal relationship we can inspire the planet to live harmoniously, respectfully and in unity with all living beings.
","Ecosystem
Diversity",NO,NO,NA,NA,NO,NA,NA,
74,Asia,Action for Protection of Wild Animals (APOWA),India,NO,NA,https://www.apowa.org/wildlife-conservat,NA,1999,26,NO,NA,NA,NO,NO,NA,NA,NO,NA,NA,
75,Asia,Altyn Dala Conservation Initiative and ACBK - Association for the Conservation of Biodiversity of Kazakhstan,Kazakhstan,NO,NA,https://altyndala.org/achievements/,5000000,2006,19,NO,NA,NA,NO,YES,"Government rangers and monitoring specialists from the partnership use a suite of tools to keep track of saiga and kulan movements across the steppe. This includes satellite collars, autonomous camera drones and remote camera traps.
To deter and prevent wildlife criminals from taking saiga, we work together with border and customs authorities. 
Our researchers study every aspect of life here – from birds, small mammals, wolves to the botanical diversity. They study species numbers, behaviour and movements, and even soil quality, to understand better how to restore the ecosystem to full health.

We know that the Kazakh wetlands are important places for migrating birds, but little is known about the other species using this habitat. So we’ve been using a cutting edge technique to detect DNA in water samples and identify the species present.","Wildlife tracking
Fieldwork
DNA methods",YES,"Protected areas, population numbers increasing, species reintroduced, ranger patrols hired and trained, working with communities. Aspirational - bring back another lost herbivore","Area
Species
Internal
Social
Aspirational (reintroduction)",
76,Asia,Raintree Foundation,India,NO,NA,https://theraintree.org/wp-content/uploads/2024/10/Raintree-Impact-Report-2024.pdf,2100,2018,7,NO,NA,NA,NO,YES,"Periodic monitoring: implement ongoing monitoring of plantation sites to asses growth, address issues, and ensure the long-term success of the project. Creation of implementation and monitoring guidelines. ",Fieldwork,YES,"Raintree foundation monitored the metrics that can help gauge the success and progress of the intervention. some of these metrics are: number of lives impacted, economic empowerment, health and wellbeing, environmental sustainability, gender inclusion, social innovation and collaboration, community engagement and participation, sustainable development goals alignment, stakeholder satisfaction. All monitoring metrics include activity input indicators, outputs, outcomes and the impact indicators. ","External
Social",
77,Asia,Wildlife Conservation Trust,India,NO,NA,"https://www.wildlifeconservationtrust.org/our-work/impact/
https://heyzine.com/flip-book/WCT-Annual-Report-2022-23.html#page/12",25899881,2002,23,NO,"The Wildlife Conservation Trust (WCT) was founded to safeguard India’s life-giving ecosystems in a holistic, sustainable manner.",NA,NO,YES,"river surveys, forest area surveys, pangolin radio-telemetry, camera trapping, monitoring streams and rivers water flow, ","Fieldwork
Wildlife tracking",YES,"OUR REACH
27 states and territories, 160 national parks and sanctuaries, 82% of India’s tiger reserves, equipment of anti-poaching camps, donations to forest departments, river surveys, forest area surveys, health training and delivery, human-wildlife interface management (satellite telemetry, assisted forest departments with rescues and investigations, tested livestock and vaccinated), surveyed housholds and villages, heater of hope, law enforcement training","Internal
Area
Social
Species",
78,Europe,Citizen Zoo - Rewilding our Future,UK,NO,NA,https://www.citizenzoo.org/our-work/water-voles/,NA,2018,7,NO,"At Citizen Zoo, we are Rewilding Our Future to create a world filled with wildlife. A world filled with the full spectrum of diversity, beauty, and abundance in nature.",NA,NO,YES,"carrying out habitat surveys, community engagement events, habitat restoration activities, including planting over 1500 river plants, and monitoring the river for signs of invasive species that impact water vole populations.
Aspirational - What next?
– We are working to start Riverfly (RMI) monitoring to assess the implications of beavers on the water quality of at Paradise Fields.","Fieldwork
Aspirational (fieldwork)",NO,NA,NA,Start date chosen from earliest project start
79,Europe,Climate Action North,UK,NO,NA,,NA,NA,NA,NO,NA,NA,NO,NO,NA,NA,NO,NA,NA,
80,Europe,Deutsche Umwelthilfe,Germany,NO,NA,https://www.duh.de/englisch/,NA,1975,50,NO,NA,NA,NO,NO,NA,NA,NO,NA,NA,
81,Europe,Embercombe retreat centre,UK,NO,NA,https://www.embercombe.org/rewilding-embercombe,20,NA,NA,NO,We aim to be more ‘hands-off’ with our management and resist the need to hold the site in a set state or preserving specific species. We do not have a set end point in mind for our land but embrace change and dynamism within our habitats.,NA,NO,YES,We are surveying and monitoring the changes on our wild land to help us monitor what changes are happening as the land regenerates.,NA,NO,NA,NA,
82,Europe,Irish Trees,Ireland,NO,NA,"https://irishtrees.ie/
",304,2019,6,NO,NA,NA,NO,NO,NA,NA,NO,NA,NA,Year started is from LinkedIn
83,Europe,Trees For Life,Scotland,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://treesforlife.org.uk/about-us/annual-review-2022-23/,NA,1993,32,NO,"Our vision is of a revitalised wild forest in the Highlands of Scotland, providing space for wildlife to flourish and communities to thrive….Hopeful and bold, we are committed to creating nature-rich landscapes that include and support people. Working on a grand scale, we aim to close the gap between people and nature.
Focusing on Scotland’s spectacular Caledonian forest, we foster biodiversity and encourage natural processes essential to life. From the iconic red squirrel to the elusive lynx, we are working to bring more life back to our landscapes.
",NA,NO,YES,"Between July and October, we carried out a community consultation in partnership with Forestry and Land Scotland to help decide whether beavers should be reintroduced to Glen Affric. The consultation was followed by workshops with the community to develop a beaver monitoring plan to track the progress of the population if a release goes ahead.

Rewilding Weeks are an opportunity to spend a week in the Scottish Highlands, growing and planting trees, monitoring wildlife, and supporting other vital work. Involving and inspiring people in our work to restore the Caledonian forest is fundamental to its success, and we love welcoming people to share the joy of helping nature to flourish.","Aspirational (fieldwork / wildlife tracking)
Fieldwork
Consultation",YES,"Annual report - Highlights and achievements 
Skills for rewilding development projects, social feasibility study, UN flagship status, beavers relocated, rewilding centre built, red squirrel introduced, ministerial visit ","Internal
Species",
84,North America,Kentucky Natural Lands Trust,USA,NO,NA,"https://knlt.org/wp-content/uploads/2023/12/KNLT_AnnualReport_2023.pdf

https://knlt.org/knlt-annual-report-2024/",23067,1995,30,NO,NA,NA,NO,NO,NA,NA,YES,"2024 Highlights - protected acres of wildlands, expanded into Virginia, stewarded wildlands, grew the team","Internal
Area",
85,North America,Re-wilding Initiative,USA,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://www.rewildinginitiative.com/about-us/,1,2016,9,NO,"Contact -t’s really about exposing people to nature (among other benefits.) 

Our Mission
Plant native plants that support wildlife.
Re-Wilding Initiative is a non-profit company dedicated to selecting, distributing and planting native plants. Because over half of our wild spaces and species are gone, we are committed to helping the remaining half of nature, by planting more native plants that support all forms of life. This is urgently needed because 85% of all remaining species are struggling to survive due to habitat loss, degradation and fragmentation.",NA,NO,YES,"Contact - I measure ‘engagements’ when they stop with their kids and look at a bunch of flowers, or berries, or insects. Or they notice the evergreens are shooting up 2’ every year. But we don’t do any quantifiable study, but we should. 
I am however planning to rewild a 15 acre and 78 acre plot in upstate NY, both already wooded but depleted. And I’m thinking about those exact things: how are we going to measure progress. (And more importantly, how are going to do it? LoL)
       We will need all sorts of baseline info, like a biodiversity survey, major tree/shrub map with sizes, invasive survey, soil tests, canopy cover ideally with drone photos (How do we create a replicable grid for the drone to follow?), understory density estimates. Lots of photos on the ground, taken from the exact same points over time. And set up a few wildlife cameras at key places, like the pond we plan to build.
       Then monitor those metrics and look as new entries, naturally coming in. And I have many ideas on planting techniques, going to try several planting-type versions & care scenarios (like fencing or watering, or not). So many things to consider, but sadly I’m not doing any of that yet. I’d love to read your research when you get it done. I could use some help on these questions.",Aspirational (fieldwork),NO,"Contact - 
I am however planning to rewild a 15 acre and 78 acre plot in upstate NY, both already wooded but depleted. And I’m thinking about those exact things: how are we going to measure progress. (And more importantly, how are going to do it? LoL)
       We will need all sorts of baseline info, like a biodiversity survey, major tree/shrub map with sizes, invasive survey, soil tests, canopy cover ideally with drone photos (How do we create a replicable grid for the drone to follow?), understory density estimates. Lots of photos on the ground, taken from the exact same points over time. And set up a few wildlife cameras at key places, like the pond we plan to build.
       Then monitor those metrics and look as new entries, naturally coming in. And I have many ideas on planting techniques, going to try several planting-type versions & care scenarios (like fencing or watering, or not). So many things to consider, but sadly I’m not doing any of that yet. I’d love to read your research when you get it done. I could use some help on these questions.","Aspirational (Area, Organisational, Diversity)",
